 Šifra ravni ; Šifra kategorije ; Deskriptor ; Deskriptor (angleški) ; Šifra starša;
1; 826;Združeno kraljestvo;United Kingdom; ;
1; 831;Guernsey;Guernsey; ;
1; 832;Jersey;Jersey; ;
1; 833;Otok Man;Isle of Man; ;
1; 834;Tanzanija, Združena republika;Tanzania, United Republic of; ;
1; 840;Združene države;United States; ;
1; 850;Deviški otoki (ZDA);Virgin Islands, U.S.; ;
1; 854;Burkina Faso;Burkina Faso; ;
1; 858;Urugvaj;Uruguay; ;
1; 860;Uzbekistan;Uzbekistan; ;
1; 862;Venezuela;Venezuela; ;
1; 876;Otoki Wallis in Futuna;Wallis and Futuna; ;
1; 882;Samoa;Samoa; ;
1; 887;Jemen;Yemen; ;
1; 894;Zambija;Zambia; ;
1; 999;NERAZVRŠÈENO;NOT CLASSIFIED; ;
